,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Karachi,24.9056,67.0822,80.42,74,40,11.5,PK,1649733040
70,Springdale,36.1867,-94.1288,58.5,97,100,10.0,US,1649732879
71,Saint George,37.1041,-113.5841,72.19,21,0,37.98,US,1649733040
72,Jamestown,42.097,-79.2353,53.24,73,100,5.75,US,1649732754
73,Port-Cartier,50.0334,-66.8654,24.94,93,46,5.14,CA,1649733041
74,Norman Wells,65.282,-126.8329,10.65,89,69,4.43,CA,1649733041
75,Fukuechō,32.6881,128.8419,67.93,84,66,2.3,JP,1649733042
76,Sarāhan,31.5167,77.8,66.99,26,100,0.25,IN,1649733042
77,Arraial do Cabo,-22.9661,-42.0278,76.19,84,61,14.94,BR,1649733043
78,Bethel,41.3712,-73.414,51.89,65,75,3.44,US,1649733043
79,La Ronge,55.1001,-105.2842,16.02,73,100,11.5,CA,1649733043
80,Saint-Augustin,51.226,-58.6502,31.53,78,31,14.18,CA,1649733044
81,Faanui,-16.4833,-151.75,81.46,74,20,12.06,PF,1649733044
82,Salalah,17.0151,54.0924,78.89,83,0,1.14,OM,1649733044
83,Pangnirtung,66.1451,-65.7125,9.55,88,11,7.49,CA,1649733045
84,Paranapanema,-23.3886,-48.7228,67.98,92,100,2.19,BR,1649733045
85,Mahébourg,-20.4081,57.7,76.24,74,64,17.65,MU,1649733046
86,Cidreira,-30.1811,-50.2056,68.52,93,82,7.45,BR,1649733046
87,Haapiti,-17.5667,-149.8667,85.73,70,10,14.27,PF,1649733046
88,Hilo,19.7297,-155.09,84.27,93,100,4.0,US,1649733047
89,Huarmey,-10.0681,-78.1522,68.38,86,39,10.78,PE,1649733047
90,Port Elizabeth,-33.918,25.5701,66.31,90,92,3.0,ZA,1649733047
91,Gdov,58.7406,27.8122,27.45,91,3,3.49,RU,1649733048
92,Araouane,18.9048,-3.5265,79.95,5,54,8.93,ML,1649733048
93,Gemena,3.25,19.7667,68.72,88,27,2.82,CD,1649733049
94,Kruisfontein,-34.0033,24.7314,62.15,81,98,4.23,ZA,1649733049
95,Verāval,20.9,70.3667,83.28,66,73,7.99,IN,1649733049
96,Upernavik,72.7868,-56.1549,13.71,95,100,8.84,GL,1649733050
97,Lewistown,40.5992,-77.5714,51.19,100,75,0.0,US,1649732904
98,Pital,2.2665,-75.8044,69.35,92,96,4.45,CO,1649733050
99,Constitución,-35.3333,-72.4167,54.48,66,100,8.48,CL,1649733051
100,Rome,43.2128,-75.4557,55.72,77,100,14.97,US,1649733051
101,Esperance,-33.8667,121.9,67.84,80,75,16.6,AU,1649733051
102,Samarai,-10.6167,150.6667,85.48,68,94,13.47,PG,1649733052
103,Hasaki,35.7333,140.8333,81.28,75,0,16.58,JP,1649733052
104,Yellowknife,62.456,-114.3525,7.29,84,78,10.56,CA,1649733053
105,Champotón,19.35,-90.7167,82.54,61,4,11.95,MX,1649733053
106,Carnarvon,-24.8667,113.6333,75.27,38,0,16.11,AU,1649733053
107,Boende,-0.2167,20.8667,68.79,94,71,1.05,CD,1649733054
108,Kidal,18.4411,1.4078,82.02,5,0,10.13,ML,1649733054
109,Saint Paul Harbor,57.79,-152.4072,49.51,34,0,12.66,US,1649733055
110,Pouébo,-20.4,164.5667,83.14,65,36,1.99,NC,1649733055
111,Mogadishu,2.0371,45.3438,81.18,79,82,6.49,SO,1649733056
112,Tlaxco,19.6167,-98.1167,55.17,75,95,5.3,MX,1649733056
113,Nome,64.5011,-165.4064,33.87,69,0,6.91,US,1649733056
114,Bay City,43.5945,-83.8889,52.12,62,0,6.91,US,1649733038
115,Wahiawā,21.5028,-158.0236,79.12,65,75,16.11,US,1649733057
116,Pevek,69.7008,170.3133,-6.05,85,5,7.05,RU,1649733057
117,Souillac,-20.5167,57.5167,77.58,77,31,17.4,MU,1649733058
118,Tupik,54.4253,119.9327,31.64,55,100,4.07,RU,1649733058
119,Fortuna,40.5982,-124.1573,47.66,85,75,5.75,US,1649733059
120,Avarua,-21.2078,-159.775,80.65,78,20,4.61,CK,1649733059
121,Morros,-9.4467,-46.3003,75.07,76,9,2.28,BR,1649733059
122,Mackenzie,55.2999,-123.1698,17.04,63,100,11.12,CA,1649733060
123,Uray,60.1247,64.7758,34.32,91,72,5.82,RU,1649733060
124,Tautira,-17.7333,-149.15,81.99,72,23,14.7,PF,1649733061
125,Khuzdar,27.7384,66.6434,74.25,27,0,4.76,PK,1649733061
126,Orangeburg,33.4918,-80.8557,68.29,53,0,9.22,US,1649733061
127,Yumen,40.2833,97.2,47.1,12,3,9.62,CN,1649733062
128,Sittwe,20.15,92.9,84.34,64,22,6.29,MM,1649733063
129,Severo-Kuril'sk,50.6789,156.125,31.64,79,32,7.09,RU,1649733063
130,Faya,18.3851,42.4509,61.32,50,0,3.69,SA,1649733063
131,Krasnovishersk,60.4078,57.082,35.2,100,75,2.77,RU,1649733064
132,Iguatemi,-23.6803,-54.5611,74.16,82,60,6.2,BR,1649733064
133,Blind River,46.1834,-82.9582,34.25,88,98,5.64,CA,1649733065
134,Nuuk,64.1835,-51.7216,29.01,64,75,12.66,GL,1649733066
135,Emba,48.8264,58.1442,51.8,73,7,3.33,KZ,1649733066
136,Erenhot,43.6475,111.9767,43.56,24,4,5.77,CN,1649733067
137,Dikson,73.5069,80.5464,14.11,91,100,23.24,RU,1649733067
138,Hong Kong,22.2855,114.1577,82.96,79,0,5.01,HK,1649733001
139,Qaanaaq,77.484,-69.3632,-8.36,67,26,6.29,GL,1649733068
140,Tacuarembó,-31.7333,-55.9833,63.32,96,74,5.46,UY,1649733068
141,Lavrentiya,65.5833,-171.0,25.38,89,100,11.43,RU,1649733069
142,George Town,5.4112,100.3354,87.73,70,20,0.0,MY,1649733069
143,Wajima,37.4,136.9,61.52,71,3,11.43,JP,1649733070
144,Vammala,61.3333,22.9,34.57,98,62,3.96,FI,1649733070
145,Nantucket,41.2835,-70.0995,48.25,82,0,11.5,US,1649733071
146,Arlit,18.7369,7.3853,82.63,8,5,5.66,NE,1649733071
147,Coquimbo,-29.9533,-71.3436,53.33,93,3,3.44,CL,1649733071
148,Waingapu,-9.6567,120.2641,85.19,59,87,4.56,ID,1649733072
149,Dekar,-21.5333,21.9333,66.99,66,21,8.84,BW,1649733073
150,Port Hardy,50.6996,-127.4199,41.81,65,1,12.19,CA,1649733073
151,Ntoum,0.3833,9.7833,73.92,92,84,1.72,GA,1649733073
152,Kieta,-6.2167,155.6333,84.74,69,92,5.35,PG,1649733074
153,Butaritari,3.0707,172.7902,81.32,74,73,9.28,KI,1649733074
154,Tombouctou,20.0,-3.0,77.81,5,86,8.25,ML,1649733075
155,Gelibolu,40.4103,26.6708,39.06,70,10,2.01,TR,1649733075
156,Churapcha,62.0025,132.4325,27.09,83,100,4.68,RU,1649733076
157,Geraldton,-28.7667,114.6,70.21,60,0,13.8,AU,1649733076
158,Hermanus,-34.4187,19.2345,66.04,63,85,5.03,ZA,1649733076
159,Aklavik,68.2191,-135.0107,14.34,89,11,8.59,CA,1649733077
160,Doha,25.2867,51.5333,78.78,38,0,2.3,QA,1649732951
161,Nadym,65.5333,72.5167,34.56,100,100,10.98,RU,1649733077
162,São Domingos,-13.3983,-46.3183,76.14,59,50,3.24,BR,1649733078
163,Kokkola,63.8385,23.1307,27.93,95,40,4.61,FI,1649733078
164,Tiksi,71.6872,128.8694,1.29,88,99,5.37,RU,1649733079
165,Yulara,-25.2406,130.9889,96.76,19,37,14.74,AU,1649733079
166,Sendafa,9.15,39.0333,52.77,65,36,2.13,ET,1649733079
167,Øksfjord,70.2396,22.3479,34.0,94,100,11.48,NO,1649733080
168,Khatanga,71.9667,102.5,-3.41,95,98,1.41,RU,1649733081
169,Almaznyy,48.0448,40.045,49.77,75,78,9.37,RU,1649733081
170,Tiruchchendur,8.4833,78.1167,83.97,68,100,4.16,IN,1649733082
171,New Norfolk,-42.7826,147.0587,65.7,49,76,3.0,AU,1649733082
172,Fillan,63.6064,8.9696,38.64,86,100,14.36,NO,1649733082
173,Makakilo City,21.3469,-158.0858,80.92,60,75,23.02,US,1649733083
174,Vestmanna,62.1564,-7.1664,40.12,81,100,19.57,FO,1649733083
175,Juneau,58.3019,-134.4197,33.22,40,75,8.05,US,1649732880
176,Leningradskiy,69.3833,178.4167,-2.49,83,15,4.29,RU,1649733084
177,Bariloche,-41.1456,-71.3082,44.35,61,40,14.97,AR,1649733025
178,Port Alfred,-33.5906,26.891,65.17,93,100,1.01,ZA,1649733085
179,Kapuskasing,49.4169,-82.4331,37.38,81,100,15.39,CA,1649732881
180,Hithadhoo,-0.6,73.0833,83.37,68,14,12.03,MV,1649733070
181,Inuvik,68.3499,-133.7218,8.58,93,86,5.44,CA,1649733086
182,Vila Velha,-20.3297,-40.2925,75.15,94,40,4.61,BR,1649732823
183,Mahon,39.8885,4.2658,57.76,88,20,17.27,ES,1649733086
184,Datong,40.0936,113.2914,47.7,27,51,1.3,CN,1649733086
185,Belluno,46.145,12.2214,42.87,81,100,1.01,IT,1649733087
186,Oranjemund,-28.55,16.4333,65.93,55,0,3.02,NA,1649733087
187,Rāvar,31.2656,56.8055,67.55,13,0,3.02,IR,1649733088
188,Lata,40.1629,-8.3327,52.92,96,100,4.74,PT,1649733088
189,Chokurdakh,70.6333,147.9167,10.81,87,100,10.67,RU,1649733088
190,Biltine,14.5333,20.9167,80.53,9,2,7.61,TD,1649733089
191,Harper,4.375,-7.7169,79.72,87,100,7.25,LR,1649733089
192,Rawson,-43.3002,-65.1023,54.73,67,100,16.46,AR,1649733090
193,Kulhudhuffushi,6.6221,73.07,84.52,73,10,9.84,MV,1649733090
194,Yanam,16.7333,82.2167,90.25,55,23,3.24,IN,1649733091
195,Adrar,20.5022,-10.0711,77.04,7,31,11.63,MR,1649733091
196,Kabalo,-6.05,26.9167,68.2,93,100,2.08,CD,1649733091
197,Muravlenko,63.7898,74.523,31.91,91,96,11.97,RU,1649733092
198,Katsuura,35.1333,140.3,67.33,76,0,13.78,JP,1649733092
199,Rafaela,-31.2503,-61.4867,62.98,66,0,1.01,AR,1649733093
200,Tual,-5.6667,132.75,83.26,72,98,3.51,ID,1649733093
201,Agara,42.0376,43.8238,51.75,69,58,4.65,GE,1649733093
202,Ust-Tsilma,65.441,52.1498,33.13,99,100,2.68,RU,1649733094
203,Guymon,36.6828,-101.4816,68.0,22,0,23.02,US,1649733095
204,Yarmouth,41.7057,-70.2286,46.99,72,0,8.05,US,1649733095
205,Caucayá,-0.1934,-74.7819,72.03,98,78,1.68,CO,1649733095
206,Bambous Virieux,-20.3428,57.7575,76.21,74,80,17.36,MU,1649733096
207,Oroville,39.5138,-121.5564,53.37,36,0,11.01,US,1649733096
208,Pavlodar,52.3,76.95,40.8,42,0,17.9,KZ,1649733096
209,Aksu,41.1231,80.2644,65.7,24,82,11.48,CN,1649733097
210,Ürümqi,43.801,87.6005,49.15,24,0,4.47,CN,1649733097
211,Nan,18.8333,100.6667,89.64,44,4,3.58,TH,1649733098
212,Zhicheng,30.2956,111.5047,71.69,44,100,16.69,CN,1649733098
213,Tessalit,20.1986,1.0114,78.58,5,27,6.8,ML,1649733099
214,Cabo San Lucas,22.8909,-109.9124,74.61,68,0,4.0,MX,1649732924
215,Chippewa Falls,44.9369,-91.3929,48.97,53,0,0.0,US,1649732876
216,Broome,42.2506,-75.833,51.21,79,100,8.05,US,1649733099
217,Talnakh,69.4865,88.3972,18.21,83,100,11.48,RU,1649733100
218,Neuquén,-38.9516,-68.0591,54.19,49,43,24.49,AR,1649732956
219,Shizilu,35.1711,118.8289,64.38,56,83,19.33,CN,1649733100
220,Gizo Government Station,-8.103,156.8419,84.07,70,86,3.51,SB,1649733079
221,San Quintín,30.4833,-115.95,59.81,79,3,13.8,MX,1649733101
222,Cockburn Town,21.4612,-71.1419,76.48,79,96,27.11,TC,1649733101
223,Aberdeen,57.1437,-2.0981,44.2,93,100,11.5,GB,1649733036
224,Provideniya,64.3833,-173.3,28.51,80,100,21.99,RU,1649733102
225,Bairiki Village,1.3292,172.9752,80.47,75,63,7.38,KI,1649733102
226,Inírida,3.8653,-67.9239,74.44,94,87,1.36,CO,1649733102
227,Tuatapere,-46.1333,167.6833,56.98,51,46,9.33,NZ,1649733103
228,Arvika,59.6553,12.5852,32.43,71,76,1.25,SE,1649733103
229,Kalabo,-14.97,22.6814,65.84,94,100,3.96,ZM,1649733103
230,Urman,54.8831,56.8742,42.78,83,59,2.95,RU,1649733104
231,São Raimundo das Mangabeiras,-7.0219,-45.4811,74.05,90,0,4.03,BR,1649733104
232,Vila do Maio,15.1333,-23.2167,69.44,80,100,16.26,CV,1649733105
233,Dingle,10.9995,122.6711,77.09,90,100,8.59,PH,1649733105
234,Lac du Bonnet,50.2536,-96.0612,27.52,83,27,4.79,CA,1649733105
235,Mar del Plata,-38.0023,-57.5575,55.09,90,0,8.99,AR,1649733106
236,Shahrud,36.4182,54.9763,59.61,30,4,4.74,IR,1649733106
237,Muros,42.7762,-9.0603,56.16,91,96,12.3,ES,1649733106
238,Sitka,57.0531,-135.33,33.69,27,40,11.5,US,1649733003
239,Alihe,50.5667,123.7167,38.79,35,64,8.99,CN,1649733107
240,Kavieng,-2.5744,150.7967,85.84,64,48,8.81,PG,1649733107
241,Kelvington,52.1667,-103.5343,16.18,89,100,7.92,CA,1649733108
242,Yago,21.8333,-105.0667,70.39,77,80,1.12,MX,1649733108
243,Longyearbyen,78.2186,15.6401,6.64,66,0,4.61,SJ,1649733064
244,Hirara,24.8,125.2833,73.96,83,6,9.22,JP,1649733109
245,Uvalde,29.3669,-99.767,78.13,45,0,5.75,US,1649733109
246,Ketchikan,55.3422,-131.6461,36.07,69,75,8.05,US,1649733110
247,Port Hedland,-20.3167,118.5667,95.05,21,1,9.22,AU,1649733110
248,Airai,-8.9266,125.4092,77.9,35,13,1.45,TL,1649733111
249,Casma,-41.0082,-73.1244,45.25,96,65,4.5,CL,1649733111
250,Thio,-21.6167,166.2167,84.16,71,46,1.61,NC,1649733111
251,Teguise,29.0605,-13.564,61.02,72,75,6.91,ES,1649733112
252,Herat Province,34.5,62.0,60.94,46,2,2.13,AF,1649732859
253,Lompoc,34.6391,-120.4579,51.12,67,0,23.02,US,1649733112
254,Kimbe,-5.5502,150.1429,86.72,70,82,7.54,PG,1649733113
255,Lima,-12.0432,-77.0282,64.65,82,0,12.66,PE,1649733021
256,Hue,16.4667,107.6,82.51,74,40,1.14,VN,1649733114
257,Teya,60.3778,92.6267,26.85,85,99,1.36,RU,1649733114
258,Bilibino,68.0546,166.4372,1.8,70,41,2.91,RU,1649733114
259,Chui,-33.6971,-53.4616,65.48,94,10,5.21,UY,1649733115
260,Ballina,-28.8667,153.5667,80.78,82,52,15.9,AU,1649733115
261,Auki,-8.7676,160.7034,83.55,70,74,2.8,SB,1649733116
262,Nouadhibou,20.931,-17.0347,63.34,87,98,23.8,MR,1649733116
263,Korla,41.7597,86.1469,62.98,21,100,7.67,CN,1649733116
264,Hualmay,-11.0964,-77.6139,67.32,87,20,11.3,PE,1649733117
265,Russell,32.3502,-85.1999,69.08,81,40,6.91,US,1649733117
266,Iqaluit,63.7506,-68.5145,9.7,84,99,7.27,CA,1649733118
267,Mossamedes,-15.1961,12.1522,76.66,74,89,7.72,AO,1649733118
268,Marawi,7.9986,124.2928,76.33,75,100,6.02,PH,1649733118
269,Padang,-0.9492,100.3543,86.05,63,48,3.49,ID,1649733119
270,Kutoarjo,-7.7169,109.9128,87.46,62,16,3.29,ID,1649733119
271,Ishigaki,24.3448,124.1572,74.62,83,13,8.59,JP,1649733120
272,Lagoa,39.05,-27.9833,59.45,93,100,16.67,PT,1649733120
273,Bengkulu,-3.8004,102.2655,83.95,66,68,2.17,ID,1649733120
274,Alapur,27.9555,79.2269,89.65,12,100,7.45,IN,1649733121
275,Tygda,53.1167,126.3333,35.76,43,99,9.08,RU,1649733121
276,Kibala,9.1104,18.3463,81.93,56,86,2.75,TD,1649733122
277,Rincon,32.296,-81.2354,65.86,77,75,8.05,US,1649733122
278,São Filipe,14.8961,-24.4956,70.09,73,100,6.98,CV,1649733123
279,Kilindoni,-7.9139,39.6668,81.46,79,100,14.88,TZ,1649733123
280,Kolvereid,64.8655,11.6047,35.64,86,99,5.59,NO,1649733124
281,Yeppoon,-23.1333,150.7333,87.58,65,1,12.71,AU,1649733124
282,Kozhevnikovo,56.2589,83.9714,31.84,78,54,1.34,RU,1649733125
283,Cabedelo,-6.9811,-34.8339,75.87,75,100,5.55,BR,1649733125
284,Bereda,43.2686,-7.5406,49.41,98,61,6.06,ES,1649733126
285,Tshikapa,-6.4167,20.8,69.69,92,100,2.15,CD,1649733126
286,Pativilca,-10.7,-77.7833,66.74,87,43,8.99,PE,1649733127
287,Srednekolymsk,67.45,153.6833,16.74,69,16,6.51,RU,1649733128
288,Najrān,17.4924,44.1277,70.07,29,0,5.91,SA,1649733128
289,Agua Verde,22.9,-106.05,71.69,79,56,9.4,MX,1649733129
290,Guerrero Negro,27.9769,-114.0611,60.44,79,0,13.11,MX,1649733129
291,Bandarbeyla,9.4942,50.8122,78.49,87,12,5.95,SO,1649733130
292,Safi,32.2994,-9.2372,59.49,83,15,7.09,MA,1649733130
293,Kolpashevo,58.3131,82.9089,31.44,87,100,4.07,RU,1649733130
294,Kavaratti,10.5669,72.642,84.49,66,100,5.95,IN,1649733131
295,Alexandria,31.2156,29.9553,59.07,60,0,12.73,EG,1649733000
296,Masuguru,-11.3667,38.4167,69.67,98,34,1.86,TZ,1649733131
297,Asău,46.4333,26.4,32.92,89,26,4.94,RO,1649733132
298,Lerwick,60.1545,-1.1494,41.0,73,100,19.55,GB,1649733132
299,Mayma,52.0197,85.9114,41.09,56,2,3.74,RU,1649733133
300,Calamar,10.2511,-74.9146,81.73,70,61,5.3,CO,1649733133
301,Nishihara,26.1842,127.7558,80.26,85,20,9.22,JP,1649733115
302,Pacific Grove,36.6177,-121.9166,49.68,68,1,17.0,US,1649732982
303,Mildura,-34.2,142.15,72.07,35,40,9.22,AU,1649733134
304,Los Andes,-32.8337,-70.5983,55.0,54,6,0.49,CL,1649733080
305,Soma,39.1855,27.6094,38.91,91,7,3.94,TR,1649733135
306,Huilong,31.8111,121.655,70.05,77,53,10.42,CN,1649733073
307,Davila,18.4726,120.5763,83.61,70,86,8.21,PH,1649733135
308,Whitehorse,60.7161,-135.0538,22.01,37,100,11.99,CA,1649733074
309,Shebunino,46.4339,141.8603,38.88,95,100,2.28,RU,1649733136
310,Sørland,67.667,12.6934,39.65,76,58,3.74,NO,1649733136
311,Pitimbu,-7.4706,-34.8086,75.79,76,100,5.61,BR,1649733137
312,Tanout,14.9709,8.8879,80.37,9,1,7.23,NE,1649733137
313,Sept-Îles,50.2001,-66.3821,27.01,89,43,6.49,CA,1649733138
314,Klyuchevskiy,53.5317,119.4519,34.9,41,92,2.95,RU,1649733138
315,Kholm,59.2667,32.85,29.05,97,100,2.57,RU,1649733139
316,Polyarny,69.1989,33.4478,29.52,94,100,8.41,RU,1649733139
317,Hare Bay,48.8499,-54.0148,33.19,95,100,22.93,CA,1649733139
318,Kaitangata,-46.2817,169.8464,56.98,50,66,11.03,NZ,1649733140
319,Kannod,22.6667,76.7333,91.72,18,100,4.85,IN,1649733140
320,Krasnyy Chikoy,50.3643,108.7512,35.51,59,100,3.06,RU,1649733141
321,Grand Gaube,-20.0064,57.6608,76.37,85,49,3.0,MU,1649733141
322,Caravelas,-17.7125,-39.2481,75.4,85,0,1.07,BR,1649733142
323,Qaqortoq,60.7167,-46.0333,31.17,53,76,12.71,GL,1649733142
324,Trairi,-3.2778,-39.2689,76.19,89,94,4.25,BR,1649732918
325,Laas,46.6166,10.7002,36.36,66,80,0.72,IT,1649733143
326,Chapais,49.7834,-74.8492,35.1,94,100,10.42,CA,1649733143
327,Aztec,36.8222,-107.9929,62.01,25,71,7.0,US,1649733143
328,Puerto Ayora,-0.7393,-90.3518,77.56,95,75,4.0,EC,1649733034
329,Kloulklubed,7.0419,134.2556,83.17,83,54,23.35,PW,1649733144
330,Marovoay,-16.1,46.6333,70.99,72,3,6.4,MG,1649733144
331,Narsaq,60.9167,-46.05,30.31,51,47,12.82,GL,1649733145
332,Shitkino,56.3703,98.3543,30.2,70,99,6.93,RU,1649733145
333,Numan,9.4667,12.0333,88.16,32,80,4.03,NG,1649733146
334,Luebo,-5.35,21.4167,69.51,90,57,1.34,CD,1649733146
335,Kautokeino,69.0125,23.0412,24.3,84,100,6.46,NO,1649733146
336,Mādhogarh,26.276,79.1869,96.06,11,100,5.86,IN,1649733147
337,Ancud,-41.8697,-73.8203,46.22,82,14,5.01,CL,1649733147
338,Decatur,39.8403,-88.9548,53.8,81,40,0.0,US,1649732931
339,Klaksvík,62.2266,-6.589,41.92,79,100,26.17,FO,1649733148
340,Vardø,70.3705,31.1107,34.41,78,95,12.86,NO,1649733148
341,Forsytheganj,52.6333,29.7333,35.49,75,82,9.95,BY,1649732941
342,Buraidah,26.326,43.975,77.18,16,73,3.89,SA,1649733149
343,Barabai,-2.5833,115.3833,90.19,55,43,1.9,ID,1649733149
344,Tsimlyansk,47.6461,42.1019,50.31,78,3,10.31,RU,1649733150
345,Walvis Bay,-22.9575,14.5053,57.09,88,1,7.56,NA,1649733150
346,Port Macquarie,-31.4333,152.9167,70.9,69,45,12.93,AU,1649733151
347,Nortelândia,-14.4547,-56.8028,76.15,78,19,2.75,BR,1649733151
348,Avera,33.194,-82.5271,63.91,55,100,5.95,US,1649733151
349,Manokwari,-0.8667,134.0833,82.98,68,96,14.09,ID,1649733152
350,Pontecorvo,41.4616,13.6667,45.97,79,46,1.95,IT,1649733152
351,Komsomolets,53.7453,62.0708,41.63,76,100,12.06,KZ,1649733153
352,Tsimmerbude,54.675,20.1347,30.25,84,4,6.11,RU,1649733153
353,Poya,-21.35,165.15,80.2,75,51,7.27,NC,1649733153
354,Gaoual,11.75,-13.2,77.72,51,40,4.36,GN,1649733154
355,Bandundu Province,-3.3167,17.3667,71.28,91,88,2.53,CD,1649733154
356,Bowen,-20.0167,148.2333,84.2,58,33,19.28,AU,1649733155
357,Bayjī,34.9311,43.487,64.36,34,61,22.88,IQ,1649733155
358,Berlevåg,70.8578,29.0864,33.8,94,99,12.86,NO,1649733155
359,Atoka,34.4001,-96.0169,68.07,95,3,10.74,US,1649733156
